video_id,comment_id,sentiment_category,user_scenario,user_question,user_suggestion,positive_cluster_theme,negative_cluster_theme,scenario_cluster_theme,question_cluster_theme,suggestion_cluster_theme
vhTHDT-,c0Fj4HUlk,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c0FvrUJXg,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v1hWN0s,c0GgLl75v,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v3T6mPl,c0KAcgC5M,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,い の 。 😁 で な し す ， が,,,
v8TdcdK,c0MTuQVFr,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vTdqmte,c0QiUA6Tw,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vb-WyHa,c0RBKVVSp,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
ve33QLn,c0Rkxk0Qg,3,0,1,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,"  ? the it i to . a is ,",
v8TdcdK,c0Soz5uZ3,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,🤣   😂 😅 💯 👏 deutsch bro the 1,,,
v8TdcdK,c0Xuf3Dqn,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vUt-uCX,c0atvVYO4,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c0ijcO8Iv,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vTdqmte,c0jE3DHLb,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c0jTcH5GT,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c0jhTURej,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vb-WyHa,c0kE0WOU2,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,い の 。 😁 で な し す ， が,,,
v8TdcdK,c0kd3588G,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,"  . the , i it ? a for to",,,
v8TdcdK,c0lwA_9Hk,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vB3iY9I,c0o2-5xOR,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v3T6mPl,c0tIET4ae,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vb-WyHa,c0uHie-aD,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,🥰   good 😅 ❤ welcome back hi ’ he,,,
vUt-uCX,c0vNNSNmV,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c0yzlsLyl,3,0,0,0,"  / > < = "" br : a href",い の 。 😁 で な し す ， が,,,
vmCnKGQ,c0zc4GTSl,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v1hWN0s,c1-2LxdIT,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,  ? 😂 ! is what s oole chair &#,
vUt-uCX,c1-b7KUNS,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vB3iY9I,c107YpUWD,3,0,1,0,"  / > < = "" br : a href",  ? ! is 🎉 so this good video .,,"/   = "" > < : a href .",
vKlzOiZ,c12exjhRV,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c155Y-Jcj,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vWN5LPe,c18ienRns,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c19LSR8rn,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,🤣   😂 😅 💯 👏 deutsch bro the 1,,,
v8TdcdK,c1C-tEonf,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c1CzCgat7,3,0,1,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,"  ? the it i to . a is ,",
v8TdcdK,c1DVA1EhI,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
ve33QLn,c1ECy-Cpp,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vJUEX3u,c1I5etXh0,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ü ä das der ich kann auch man ,",
vhTHDT-,c1J68O7y-,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,い の 。 😁 で な し す ， が,,,
vbesCCb,c1MVr6Wgb,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c1PJXr6BZ,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vhTHDT-,c1PXg2RjV,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c1RDrfy7c,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vr9Mebt,c1Saiz4x-,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c1W9m27ls,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vKlzOiZ,c1Z9AAzOb,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vB3iY9I,c1dNBD2n1,3,0,1,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,  ? 😂 ! is what s oole chair &#,
v1hWN0s,c1ddfh8fS,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vb-WyHa,c1hQxPbds,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vKlzOiZ,c1iffbqKy,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vmCnKGQ,c1m7U3QOK,3,0,1,0,"  . the , i it ? a for to",  ? ! is 🎉 so this good video .,,"  ? the it i to . a is ,",
vKlzOiZ,c1oC8c1Kd,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vB3iY9I,c1pajS3cq,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c2-iT6lJN,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vbesCCb,c21iArNwx,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c23Knr2Hv,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vhTHDT-,c26OUC_8f,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vb-WyHa,c2EQYSbTV,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c2GVpcvvU,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vJUEX3u,c2H1Ye_RD,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c2HvwhwWb,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v1hWN0s,c2O0qg1hk,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vpOtjW1,c2VITcQsb,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
v8TdcdK,c2XM6yZaC,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c2aSSZL3j,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c2dqIhhrS,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c2gchYe_9,3,0,0,0,"  / > < = "" br : a href",  ? ! is 🎉 so this good video .,,,
v8TdcdK,c2hXIGRRa,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c2iSVJeZN,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,い の 。 😁 で な し す ， が,,,
v8TdcdK,c2poGAsHe,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vKlzOiZ,c2qXRQyTu,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c2tM4EKXV,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vUt-uCX,c2tMcQpCQ,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vUt-uCX,c2wGO_AGw,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vUt-uCX,c32PdM4dT,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,い の 。 😁 で な し す ， が,,,
v8TdcdK,c35uCdDMO,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v1hWN0s,c36Yzqc-1,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c3FPqv_s0,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
vKlzOiZ,c3HG-p6Hh,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vB3iY9I,c3I3z6R_P,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c3KP8xAz6,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v1hWN0s,c3P5ojGwA,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vKlzOiZ,c3RrMpXoT,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vTdqmte,c3VD552sy,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c3cST-ua8,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c3jJawyIY,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vhTHDT-,c3mZ_CXxk,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vUt-uCX,c3nzRR8BU,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,🤣   😂 😅 💯 👏 deutsch bro the 1,,,
vB3iY9I,c3t4opXCN,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c4-1fyytN,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
vmCnKGQ,c4-xPhMGP,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vmCnKGQ,c40otxbrT,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vB3iY9I,c41dZ8KYx,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vKlzOiZ,c421AJT5p,3,0,1,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,的 ？   ， 可以 。 이 吗 这个 錄音筆,
vB3iY9I,c46kcrH1G,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c49nEgOVq,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
v8TdcdK,c49vrqz7I,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c4BaQdFFq,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
vB3iY9I,c4D96jFpX,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vKlzOiZ,c4DHctbfU,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vUt-uCX,c4EbsH6mN,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
v3T6mPl,c4Hlqz9Du,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c4IPJ0cCY,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vB3iY9I,c4OBOn4pP,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
v1hWN0s,c4QVuVQ9B,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vhTHDT-,c4VOiEyyC,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c4Vy-QnOd,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,😂   carrie nice ❤ ! is nick ? you,,,
vB3iY9I,c4WKNHspu,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vKlzOiZ,c4WvkUPU8,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vr9Mebt,c4X6Yty3S,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c4c-4gLGN,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c4cFuDFW-,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vQjtjf2,c4d8diW9B,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c4hG7GDD1,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c4jFTOk_U,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vbesCCb,c4mruN94p,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c4pRZT6LL,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
vhTHDT-,c4rKE9Q9X,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,い の 。 😁 で な し す ， が,,,
vTdqmte,c4sRTDoOi,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c5-GoCbVC,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c52yxLeRw,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v4g6avX,c53CWoJez,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vmCnKGQ,c59DsjQ2s,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vWN5LPe,c59MLsejY,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c5C4YNgzJ,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c5Cec3kJk,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c5GZDrALo,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
v8TdcdK,c5HrfyTNe,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c5Jru5c6m,3,0,0,0,"  / > < = "" br : a href",  ? ! is 🎉 so this good video .,,,
vpOtjW1,c5QLxfPkh,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c5YuPoA1A,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,🤣   😂 😅 💯 👏 deutsch bro the 1,,,
vhTHDT-,c5_PLhBv2,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
vB3iY9I,c5b67-IuE,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c5fsVkno5,3,0,1,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,  ? 😂 ! is what s oole chair &#,
v8TdcdK,c5hBwPQG3,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vUt-uCX,c5l8qbqy2,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vKlzOiZ,c5oIaEeJU,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,い の 。 😁 で な し す ， が,,,
vKlzOiZ,c5oTUvBtj,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c5r3QW5yP,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vTdqmte,c5r6FSGmA,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vUt-uCX,c5sAC1k-b,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
v8TdcdK,c5vMkCgvY,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c63LUyDQ4,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,"  . the , i it ? a for to",,,
v8TdcdK,c65bKJNpx,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c676YBxal,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,😂   carrie nice ❤ ! is nick ? you,,,
vbesCCb,c67x8zahu,3,0,1,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,  ? 😂 ! is what s oole chair &#,
vb-WyHa,c6Ac2s49X,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
v8TdcdK,c6HBKdb6k,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c6HPjWqYw,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c6JNG38Z_,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v1hWN0s,c6LdTqGWB,1,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,,,,
vB3iY9I,c6QrEMSf1,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vKlzOiZ,c6RrnIz71,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v1hWN0s,c6V1SZcdK,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
viVgLsZ,c6bILVrnF,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c6bLAvi2i,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v1hWN0s,c6g-SeOev,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c6g6ccAFM,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vmCnKGQ,c6gjvxZzp,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vmCnKGQ,c6kDHS5uu,3,0,1,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,  ? 😂 ! is what s oole chair &#,
vB3iY9I,c6u2ntX9E,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c6u3Ju8jK,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vKlzOiZ,c6xw4p7Jy,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,い の 。 😁 で な し す ， が,,,
v3T6mPl,c6zinHSXm,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vmCnKGQ,c716RSaVX,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vb-WyHa,c71gEZ8-f,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v1hWN0s,c71wl4DrC,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vUt-uCX,c73UMFSC5,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c7DdUfzvg,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vmCnKGQ,c7HHS9-Tk,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vB3iY9I,c7O02zH74,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vWN5LPe,c7OeWSgp9,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
vhTHDT-,c7QJohfsa,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c7XNKTS9X,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,😂   carrie nice ❤ ! is nick ? you,,,
vWN5LPe,c7ZImyo9N,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c7_Zc6sFU,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
v8TdcdK,c7aXx-1ZW,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vbesCCb,c7gfyIIwl,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ü ä das der ich kann auch man ,",
v8TdcdK,c7kRJrWxG,3,0,0,0,😂 🥰 ❤ ， 😁 😳 的 🤣 👍  ,❤   ️ 🎉 👍 welcome 😂 back birthday happy,,,
vB3iY9I,c7r2jQFDr,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vB3iY9I,c7zoDDJBx,3,0,0,0,"  . the , i it ? a for to","  . the , i it ? a for to",,,
v8TdcdK,c816K2SK3,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
vbesCCb,c81e2DV_8,3,0,0,0,  ? ! is 🎉 😂 ❤ so good this,  ? ! is 🎉 so this good video .,,,
vTdqmte,c83fRxE9p,3,0,1,0,"  . the , i it ? a for to","  . the , i it ? a for to",,"  ? the it i to . a is ,",
